year,season,state,capacity_factor,day_count
2005,winter,ND,0.07757331111111111,90
2005,fall,NE,0.0774547142857143,91
2005,spring,NE,0.0971551956521739,92
2005,summer,NE,0.045035076086956526,92
2005,winter,NE,0.05438370000000001,90
2005,fall,NH,0.010926285714285713,91
2005,spring,NH,0.017608739130434783,92
2005,summer,NH,0.00414304347826087,92
2005,winter,NH,0.013223255555555556,90
2005,fall,NJ,0.03073791208791209,91
2005,spring,NJ,0.0383695,92
2005,summer,NJ,0.010265108695652173,92
2005,winter,NJ,0.033740655555555554,90
2005,fall,NM,0.051404384615384616,91
2005,spring,NM,0.08923382608695653,92
2005,summer,NM,0.049393880434782614,92
2005,winter,NM,0.0525433,90
2005,fall,NV,0.03549123076923077,91
2005,spring,NV,0.06000099999999998,92
2005,summer,NV,0.04346053260869565,92
2005,winter,NV,0.02708845555555555,90
2005,fall,NY,0.04657756043956044,91
2005,spring,NY,0.0461123152173913,92
2005,summer,NY,0.01802658695652174,92
2005,winter,NY,0.04633667777777777,90
2005,fall,OH,0.03731735164835165,91
2005,spring,OH,0.050117184782608695,92
2005,summer,OH,0.015838956521739132,92
2005,winter,OH,0.041614599999999995,90
2005,fall,OK,0.05266337362637363,91
2005,spring,OK,0.06847834782608696,92
2005,summer,OK,0.033321141304347816,92
2005,winter,OK,0.03961107777777778,90
2005,fall,OR,0.020160857142857144,91
2005,spring,OR,0.03344194565217391,92
2005,summer,OR,0.026803097826086957,92
2005,winter,OR,0.030865300000000002,90
2005,fall,PA,0.02665396703296703,91
2005,spring,PA,0.03233003260869565,92
2005,summer,PA,0.00835554347826087,92
2005,winter,PA,0.03250784444444444,90
2005,fall,RI,0.03777145054945055,91
2005,spring,RI,0.05215834782608695,92
2005,summer,RI,0.01800123913043478,92
2005,winter,RI,0.039502211111111116,90
2005,fall,SC,0.014652593406593407,91
2005,spring,SC,0.032504336956521745,92
2005,summer,SC,0.008690913043478262,92
2005,winter,SC,0.018704988888888892,90
2005,fall,SD,0.0940387912087912,91
2005,spring,SD,0.1257623913043478,92
2005,summer,SD,0.0675600652173913,92
2005,winter,SD,0.08069632222222221,90
2005,fall,TN,0.012967538461538463,91
2005,spring,TN,0.021235217391304347,92
2005,summer,TN,0.00910617391304348,92
2005,winter,TN,0.018265455555555556,90
2005,fall,TX,0.035879890109890115,91
2005,spring,TX,0.05847469565217391,92
2005,summer,TX,0.032483,92
2005,winter,TX,0.04073218888888889,90
2005,fall,UT,0.039716219780219775,91
2005,spring,UT,0.06301339130434781,92
2005,summer,UT,0.04852560869565218,92
2005,winter,UT,0.03521004444444445,90
2005,fall,VA,0.020582813186813185,91
2005,spring,VA,0.03407983695652174,92
2005,summer,VA,0.008140434782608697,92
2005,winter,VA,0.026445822222222217,90
2005,fall,VT,0.021557802197802196,91
2005,spring,VT,0.01996766304347826,92
2005,summer,VT,0.007155206521739131,92
2005,winter,VT,0.021719422222222225,90
2005,fall,WA,0.018704417582417577,91
2005,spring,WA,0.03228715217391304,92
2005,summer,WA,0.0276778152173913,92
2005,winter,WA,0.018222999999999996,90
2005,fall,WI,0.03235887912087912,91
2005,spring,WI,0.03328660869565217,92
2005,summer,WI,0.016878141304347827,92
2005,winter,WI,0.021161611111111114,90
2005,fall,WV,0.011881549450549448,91
2005,spring,WV,0.01746591304347826,92
2005,summer,WV,0.004302228260869566,92
2005,winter,WV,0.017734188888888888,90
2005,fall,WY,0.06509518681318681,91
2005,spring,WY,0.08515268478260869,92
2005,summer,WY,0.05351366304347826,92
2005,winter,WY,0.06585070000000001,90
2006,fall,AL,0.011056813186813187,91
2006,spring,AL,0.020519228260869563,92
2006,summer,AL,0.005992641304347826,92
2006,winter,AL,0.021017744444444444,90
2006,fall,AR,0.020876010989010988,91
2006,spring,AR,0.03769969565217391,92
2006,summer,AR,0.010929032608695653,92
2006,winter,AR,0.039437855555555554,90
2006,fall,AZ,0.030321824175824175,91
2006,spring,AZ,0.056269913043478274,92
2006,summer,AZ,0.03650896739130435,92
2006,winter,AZ,0.03758366666666667,90
2006,fall,CA,0.024481461538461542,91
2006,spring,CA,0.040534293478260874,92
2006,summer,CA,0.028476108695652175,92
2006,winter,CA,0.03304392222222222,90
2006,fall,CO,0.050992450549450556,91
2006,spring,CO,0.08349167391304348,92
2006,summer,CO,0.04331482608695652,92
2006,winter,CO,0.07549501111111111,90
2006,fall,CT,0.02821136263736264,91
2006,spring,CT,0.03479767391304348,92
2006,summer,CT,0.013555597826086957,92
2006,winter,CT,0.04046600000000001,90
2006,fall,DE,0.048241648351648354,91
2006,spring,DE,0.05614489130434781,92
2006,summer,DE,0.024139326086956524,92
2006,winter,DE,0.06364107777777778,90
2006,fall,FL,0.023796175824175828,91
2006,spring,FL,0.03391664130434782,92
2006,summer,FL,0.020688521739130435,92
2006,winter,FL,0.037108722222222223,90
2006,fall,GA,0.009044142857142858,91
2006,spring,GA,0.015364913043478258,92
2006,summer,GA,0.005997815217391304,92
2006,winter,GA,0.01586711111111111,90
2006,fall,IA,0.047440318681318684,91
2006,spring,IA,0.0981428695652174,92
2006,summer,IA,0.023158489130434782,92
2006,winter,IA,0.06966293333333333,90
2006,fall,ID,0.031067912087912087,91
2006,spring,ID,0.04378270652173913,92
2006,summer,ID,0.02495067391304348,92
2006,winter,ID,0.040954866666666666,90
2006,fall,IL,0.03389073626373626,91
2006,spring,IL,0.06321689130434782,92
2006,summer,IL,0.01395903260869565,92
2006,winter,IL,0.056608533333333336,90
2006,fall,IN,0.031124065934065928,91
2006,spring,IN,0.054399923913043484,92
2006,summer,IN,0.013826260869565218,92
2006,winter,IN,0.06106959999999999,90
2006,fall,KS,0.07798686813186813,91
2006,spring,KS,0.12027373913043476,92
2006,summer,KS,0.061516228260869575,92
2006,winter,KS,0.08049758888888889,90
2006,fall,KY,0.012666428571428573,91
2006,spring,KY,0.025595293478260867,92
2006,summer,KY,0.007921673913043478,92
2006,winter,KY,0.032748533333333336,90
2006,fall,LA,0.01938324175824176,91
2006,spring,LA,0.027076717391304347,92
2006,summer,LA,0.0064557608695652155,92
2006,winter,LA,0.030075066666666667,90
2006,fall,MA,0.03725463736263736,91
2006,spring,MA,0.053115532608695656,92
2006,summer,MA,0.02382976086956522,92
2006,winter,MA,0.06901120000000001,90
2006,fall,MD,0.02848587912087912,91
2006,spring,MD,0.041365717391304346,92
2006,summer,MD,0.012678108695652175,92
2006,winter,MD,0.04937358888888888,90
2006,fall,ME,0.019809725274725277,91
2006,spring,ME,0.030050326086956524,92
2006,summer,ME,0.010414934782608696,92
2006,winter,ME,0.033892288888888886,90
2006,fall,MI,0.02753467032967033,91
2006,spring,MI,0.04001175,92
2006,summer,MI,0.015151760869565217,92
2006,winter,MI,0.04809906666666666,90
2006,fall,MN,0.04714259340659342,91
2006,spring,MN,0.06183598913043478,92
2006,summer,MN,0.024181967391304352,92
2006,winter,MN,0.048670211111111104,90
2006,fall,MO,0.032680373626373625,91
2006,spring,MO,0.058619315217391305,92
2006,summer,MO,0.018409065217391305,92
2006,winter,MO,0.0489769,90
2006,fall,MS,0.017866285714285713,91
2006,spring,MS,0.02710216304347826,92
2006,summer,MS,0.008342826086956523,92
2006,winter,MS,0.029888277777777774,90
2006,fall,MT,0.07824762637362637,91
2006,spring,MT,0.08249120652173912,92
2006,summer,MT,0.05307741304347826,92
2006,winter,MT,0.11080384444444447,90
2006,fall,NC,0.016889813186813186,91
2006,spring,NC,0.021927815217391303,92
2006,summer,NC,0.00806125,92
2006,winter,NC,0.023270844444444445,90
2006,fall,ND,0.08411285714285714,91
2006,spring,ND,0.09663953260869566,92
2006,summer,ND,0.05918842391304348,92
2006,winter,ND,0.08933325555555555,90
2006,fall,NE,0.06588884615384615,91
2006,spring,NE,0.1241100108695652,92
2006,summer,NE,0.04770027173913043,92
2006,winter,NE,0.08146471111111112,90
2006,fall,NH,0.05093696703296704,91
2006,spring,NH,0.05661473913043477,92
2006,summer,NH,0.04544120652173913,92
2006,winter,NH,0.05431836666666667,90
2006,fall,NJ,0.027698967032967037,91
2006,spring,NJ,0.03892377173913043,92
2006,summer,NJ,0.014300554347826084,92
2006,winter,NJ,0.04646816666666667,90
2006,fall,NM,0.04967614285714284,91
2006,spring,NM,0.10431164130434784,92
2006,summer,NM,0.04590998913043479,92
2006,winter,NM,0.07164977777777778,90
2006,fall,NV,0.03613265934065934,91
2006,spring,NV,0.07049466304347826,92
2006,summer,NV,0.04603819565217391,92
2006,winter,NV,0.03768041111111112,90
2006,fall,NY,0.03316852747252748,91
2006,spring,NY,0.04766378260869566,92
