date,region,capacity_factor
1995-05-26,MN,0.022709
1995-05-26,TX,0.069734
1995-05-27,CA,0.04973
1995-05-27,FL,0.013428
1995-05-27,MN,0.101493
1995-05-27,TX,0.117241
1995-05-28,CA,0.032974
1995-05-28,FL,0.024064
1995-05-28,MN,0.133761
1995-05-28,TX,0.042128
1995-05-29,CA,0.032321
1995-05-29,FL,0.023249
1995-05-29,MN,0.020329
1995-05-29,TX,0.089859
1995-05-30,CA,0.021906
1995-05-30,FL,0.014408
1995-05-30,MN,0.023907
1995-05-30,TX,0.05498
1995-05-31,CA,0.020598
1995-05-31,FL,0.016514
1995-05-31,MN,0.021826
1995-05-31,TX,0.032246
1995-06-01,CA,0.045647
1995-06-01,FL,0.030283
1995-06-01,MN,0.01038
1995-06-01,TX,0.030599
1995-06-02,CA,0.097529
1995-06-02,FL,0.043824
1995-06-02,MN,0.004271
1995-06-02,TX,0.062601
1995-06-03,CA,0.054904
1995-06-03,FL,0.04663
1995-06-03,MN,0.007224
1995-06-03,TX,0.147859
1995-06-04,CA,0.064454
1995-06-04,FL,0.048155
1995-06-04,MN,0.029713
1995-06-04,TX,0.086258
1995-06-05,CA,0.152324
1995-06-05,FL,0.14664
1995-06-05,MN,0.026208
1995-06-05,TX,0.057659
1995-06-06,CA,0.170579
1995-06-06,FL,0.074677
1995-06-06,MN,0.014836
1995-06-06,TX,0.10234
1995-06-07,CA,0.143973
1995-06-07,FL,0.027685
1995-06-07,MN,0.088974
1995-06-07,TX,0.1041
1995-06-08,CA,0.056775
1995-06-08,FL,0.013989
1995-06-08,MN,0.047958
1995-06-08,TX,0.118459
1995-06-09,CA,0.039337
1995-06-09,FL,0.009086
1995-06-09,MN,0.008135
1995-06-09,TX,0.126836
1995-06-10,CA,0.039409
1995-06-10,FL,0.016746
1995-06-10,MN,0.050844
1995-06-10,TX,0.094296
1995-06-11,CA,0.052453
1995-06-11,FL,0.018942
1995-06-11,MN,0.014024
1995-06-11,TX,0.137918
1995-06-12,CA,0.050537
1995-06-12,FL,0.033899
1995-06-12,MN,0.006809
1995-06-12,TX,0.033995
1995-06-13,CA,0.050015
1995-06-13,FL,0.059043
1995-06-13,MN,0.009014
1995-06-13,TX,0.020044
1995-06-14,CA,0.060727
1995-06-14,FL,0.011529
1995-06-14,MN,0.027137
1995-06-14,TX,0.044738
1995-06-15,CA,0.097875
1995-06-15,FL,0.024736
1995-06-15,MN,0.085632
1995-06-15,TX,0.074774
